Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number,Relocated From X Coordinate,Relocated From Y Coordinate,Relocated From Latitude,Relocated From Longitude,Relocated From Location
06/16/2020 10:40:00 AM,Volkswagen,Black,AH90656,Illinois,355,N,LAKE SHORE DR RAMP,,1656,N,CLARK,,Stalled,20-00043588,1180097.69853431,1902709.32998773,41.888305666,-87.614067539,"(41.888305666166275, -87.61406753894724)"
06/16/2020 11:25:00 PM,Mercedes,Silver,CB77263,Illinois,1541,S,NB OUTER LAKE SHORE,DRIVE,405,E,WALDRON,,Accident,20-00043590,,,,,
06/17/2020 06:42:00 AM,Chevrolet,Blue,AK48483,Illinois,3308,W,SCHUBERT,AVE,2659,N,SPAULDING,,Forestry,20-00043595,1153588.67422963,1917756.90003343,41.930166027,-87.711017077,"(41.93016602746127, -87.71101707654859)"
06/17/2020 06:26:00 AM,Chevrolet,Blue,AS35604,Illinois,3305,W,SCHUBERT,AVE,2659,N,SPAULDING,,Forestry,20-00043594,1153599.77422963,1917757.10003343,41.930166355,-87.710976281,"(41.93016635519084, -87.71097628125868)"
06/17/2020 06:27:00 AM,Volkswagen,Gray,AW81227,Illinois,800,S,LAKESHORE,DR,625,S,COLUMBUS,,Broken Down,20-00043598,,,,,
06/19/2020 04:03:00 PM,Chrysler,Black,063020,Illinois,5,S,STATE,ST,323,E,WACKER,,Accident,20-00044249,1176376.59122814,1900376.50989122,41.881989057,-87.627803016,"(41.88198905663059, -87.62780301626108)"
06/25/2020 07:56:00 AM,Toyota,Red,Y9457H,Tennessee,4713,W,LAWRENCE,AVE,4713,W,LAWRENCE,,CDOT Street Resurfacing,20-00045272,1143955.01998033,1931493.18981829,41.968046037,-87.746072848,"(41.96804603689925, -87.7460728484883)"
06/19/2020 06:26:00 PM,Toyota,Black,ADK6620,Wisconsin,456,W,79TH,ST,449,W,79TH STREET,,Accident,20-00044266,1174542.77009202,1852538.26648269,41.750757675,-87.635962311,"(41.750757674810615, -87.6359623110441)"
06/23/2020 08:35:00 AM,Nissan,Black,ZU34188,Illinois,7544,S,LAFAYETTE,AVE,110,W,75TH ST.,,Other,20-00044736,1177144.89141987,1854965.85430205,41.757360988,-87.626353841,"(41.757360988181254, -87.62635384111587)"
06/19/2020 07:23:00 PM,Hyundai,Maroon,ZY23267,Illinois,1644,N,LUNA,AVE,1530,N,LUNA,,Water Management,20-00044269,1139152.71987315,1910382.71241102,41.910205707,-87.764246104,"(41.91020570688392, -87.76424610406298)"
06/29/2020 04:22:00 PM,Honda,Silver,S474835,Illinois,4920,N,WINCHESTER,,4942,N,WINCHESTER,,Water Management,20-00046124,1162524.91638394,1932691.80528685,41.970965508,-87.677758788,"(41.97096550816735, -87.67775878751156)"
06/23/2020 08:20:00 AM,Cadillac,Gray,AW21050,Illinois,1023,N,LAKE SHORE NB,DR,188,E,LASALLE DR,,Broken Down,20-00044730,,,,,
06/19/2020 07:52:00 PM,Chevrolet,Red,P259821,Illinois,6341,S,RICHMOND,ST,6328,S,RICHMOND,,Water Management,20-00044271,1157805.17138933,1862447.89822735,41.778307112,-87.697028588,"(41.77830711245413, -87.69702858819801)"
06/19/2020 08:10:00 PM,Chrysler,Silver,7152173,Illinois,6338,S,RICHMOND,ST,6331,S,RICHMOND,,Water Management,20-00044272,1157804.67138933,1862467.99822735,41.77836228,-87.697029876,"(41.77836227992203, -87.69702987598818)"
06/23/2020 08:34:00 AM,Chevrolet,Silver,BF24735,Illinois,7419,S,EXCHANGE,AVE,7357,S,KINGSTON,,CDOT Street Resurfacing,20-00044733,1194889.2345919,1856249.73660319,41.760465501,-87.561282233,"(41.7604655008762, -87.56128223258696)"
06/19/2020 09:26:00 PM,Jeep,Red,CC82612,Illinois,7243,S,JEFFERY,BLVD,7233,S,JEFFREY,,Accident,20-00044274,1190799.72079915,1857240.04399488,41.763282726,-87.576238215,"(41.763282725618915, -87.57623821483224)"
